ダウンロードした時刻：2020/08/27 10:19:42,,,,,,,,,,
,,,,,,,,,,
,練馬,練馬,練馬,練馬,練馬,練馬,練馬,練馬,練馬,練馬
年月日,最高気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,時分,時分,,,,時分,時分,
,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号
2007/8/12,34.8,8,2007/8/12 14:40,8,2,26.5,8,2007/8/12 05:40,8,2
2007/8/13,34.9,8,2007/8/13 14:00,8,2,25.9,8,2007/8/13 07:40,8,2
2007/8/14,36,8,2007/8/14 13:40,8,2,27.5,8,2007/8/14 05:00,8,2
2007/8/15,37.9,8,2007/8/15 14:00,8,2,27.4,8,2007/8/15 05:10,8,2
2007/8/16,38.7,8,2007/8/16 11:30,8,2,29,8,2007/8/16 05:30,8,2
2007/8/17,38.2,8,2007/8/17 14:20,8,2,26.1,8,2007/8/18 0:00,8,2
2007/8/18,27.4,8,2007/8/18 16:00,8,2,24.3,8,2007/8/18 05:20,8,2
2007/8/19,34.6,8,2007/8/19 14:00,8,2,24.5,8,2007/8/19 03:40,8,2
2007/8/20,37.2,8,2007/8/20 14:40,8,2,25.6,8,2007/8/20 05:00,8,2
2007/8/21,36.2,8,2007/8/21 13:00,8,2,26.2,8,2007/8/21 03:20,8,2
2007/8/22,38.2,8,2007/8/22 14:10,8,2,25.4,8,2007/8/23 0:00,8,2
2007/8/23,30.6,8,2007/8/23 15:20,8,2,22.1,8,2007/8/23 09:10,8,2
2007/8/24,32.3,8,2007/8/24 14:10,8,2,24.2,8,2007/8/24 05:40,8,2
2007/8/25,34,8,2007/8/25 13:50,8,2,25,8,2007/8/25 05:20,8,2
2008/8/1,32.1,8,2008/8/1 15:50,8,2,24.8,8,2008/8/1 05:50,8,2
2008/8/2,33.4,8,2008/8/2 14:40,8,2,25.6,8,2008/8/2 04:50,8,2
2008/8/3,35.2,8,2008/8/3 11:50,8,2,26.7,8,2008/8/3 05:30,8,2
2008/8/4,35.7,8,2008/8/4 13:30,8,2,26.1,8,2008/8/4 23:20,8,2
2008/8/5,31.6,8,2008/8/5 10:40,8,2,25.1,8,2008/8/5 18:50,8,2
2008/8/6,35.3,8,2008/8/6 14:20,8,2,25.5,8,2008/8/6 05:40,8,2
2008/8/7,36.4,8,2008/8/7 14:10,8,2,25.7,8,2008/8/7 05:10,8,2
2008/8/8,36.3,8,2008/8/8 13:00,8,2,26.5,8,2008/8/8 05:00,8,2
2008/8/9,33.6,8,2008/8/9 11:00,8,2,25.4,8,2008/8/10 0:00,8,2
2008/8/10,29.5,8,2008/8/10 15:30,8,2,24.4,8,2008/8/10 05:50,8,2
2008/8/11,33.7,8,2008/8/11 14:40,8,2,23.7,8,2008/8/11 03:20,8,2
2008/8/12,32.9,8,2008/8/12 14:00,8,2,25.2,8,2008/8/12 04:20,8,2
2008/8/13,34,8,2008/8/13 13:20,8,2,26.9,8,2008/8/13 04:30,8,2
2008/8/14,36.1,8,2008/8/14 13:30,8,2,26.1,8,2008/8/14 03:50,8,2
2008/8/15,36.2,8,2008/8/15 14:20,8,2,26.1,8,2008/8/15 04:30,8,2
2008/8/16,35.8,8,2008/8/16 13:10,8,2,24.5,8,2008/8/16 23:50,8,2
2008/8/17,24.8,8,2008/8/17 02:00,8,2,20.2,8,2008/8/18 0:00,8,2
